lecture_year,semester,professor_name,subject_name,division_code,lecture_place,capacity,language,is_english,note,syllabus_url,created_at,subject_code
2025,1,송주빈,확률및랜덤변수(컴퓨터공학과),EE211-00,전220,60,한국어,FALSE,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=004463&p_code=EE21100&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724051679,2025-05-27 14:25,EE211
2025,1,한치근,알고리즘,CSE304-00,B01,52,한국어,FALSE,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=006189&p_code=CSE30400&p_subjt=CSE304&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724053691,2025-05-27 14:25,CSE304
2025,1,이성원,웹/파이선프로그래밍(컴퓨터공학과),SWCON104-00,전205,150,영어(부분),TRUE,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON10400&p_subjt=SWCON104&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724055719,2025-05-27 14:25,SWCON104
2025,1,이성원,컴퓨터네트워크,CSE302-00,전136,61,영어(부분),TRUE,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=CSE30200&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724057724,2025-05-27 14:25,CSE302
2025,1,이성원,마이크로서비스프로그래밍(컴퓨터공학과),SWCON221-00,B09,60,영어(부분),TRUE,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON22100&p_subjt=SWCON221&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724059760,2025-05-27 14:25,SWCON221
2025,1,이성원,풀스택서비스프로그래밍(컴퓨터공학과),SWCON370-00,B05,30,한국어,FALSE,디자인소프트웨어 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON37000&p_subjt=SWCON370&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724061776,2025-05-27 14:25,SWCON370
2025,1,이성원,풀스택서비스네트워킹(컴퓨터공학과),SWCON492-00,전136,60,한국어,FALSE,XR입출력기술 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON49200&p_subjt=SWCON492&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724063778,2025-05-27 14:25,SWCON492
2025,1,이성원,오픈소스SW개발방법및도구(컴퓨터공학과),SWCON201-00,전205,150,영어(부분),TRUE,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON20100&p_subjt=SWCON201&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724065809,2025-05-27 14:25,SWCON201
2025,1,홍인기,확률및랜덤변수(컴퓨터공학과),EE211-05,전220,60,한국어,FALSE,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=014891&p_code=EE21105&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724067830,2025-05-27 14:25,EE211
2025,1,이대호,객체지향프로그래밍,CSE103-01,온라인,150,한국어,FALSE,"소프트웨어융합대학/전자공학과 전공(다전공 포함) 학생은 수강 불가, 시험은 7주차(4월 21일)/15주차(6월16일) 월요일 18:30~20:00 대면으로 전자정보관에서 진행 (본인 노트북으로 실시, 필요시 노트북 대여 가능, 타 과목과 시험이 중복되어도 시간 변동 없음), 실감미디어기술 마이크로디그리 교과목",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=CSE10301&p_subjt=CSE103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724069868,2025-05-27 14:25,CSE103
