lecture_year,semester,campus,course_no,title,target_year,capacity,professor,credit,time_place,language,is_english,note,syllabus_url
2025,1,국제,CSE406-12,캡스톤디자인,4,9,장대희,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=059932&p_code=CSE40612&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724148100
2025,1,국제,CSE495-00,독립심화학습1(컴퓨터공학),4,1,장대희,3.0,토 09:00-11:45 (),,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(윤*찬),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=059932&p_code=CSE49500&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724149025
2025,1,국제,CSE204-02,자료구조,2,149,박제만,3.0,"월 10:00-11:50 (전205)
수 10:00-11:50 (전205)",영어(부분),True,객체지향프로그래밍 선이수 필요 / 본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061420&p_code=CSE20402&p_subjt=CSE204&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724149760
2025,1,국제,SWCON496-00,소프트웨어융합보안(컴퓨터공학과),4,40,박제만,3.0,"월 12:00-13:15 (전103)
수 12:00-13:15 (전103)",영어(부분),True,"운영체제, 컴퓨터구조 선이수 권장",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061420&p_code=SWCON49600&p_subjt=SWCON496&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724150563
2025,1,국제,SWCON104-02,웹/파이선프로그래밍(컴퓨터공학과),1,150,조명아,3.0,"화 10:30-12:20 (멀112)
목 10:30-12:20 (멀112)",영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061421&p_code=SWCON10402&p_subjt=SWCON104&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724151326
2025,1,국제,SWCON491-00,인공지능과게임프로그래밍(컴퓨터공학과),3,60,조명아,3.0,"화 13:30-14:45 (멀112)
목 13:30-14:45 (멀112)",영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능) / 선수과목: 객체지향프로그래밍&선형대수,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061421&p_code=SWCON49100&p_subjt=SWCON491&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724152247
2025,1,국제,SWCON103-01,디자인적사고(컴퓨터공학과),1,50,조명아,3.0,화 15:00-18:50 (멀112),,False,본인 노트북으로 실습 (필요시 대여 가능) / 디자인소프트웨어 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061421&p_code=SWCON10301&p_subjt=SWCON103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724153042
2025,1,국제,CSE4100-00,블록체인프로젝트,4,50,김정현,3.0,금 15:00-17:45 (B06),,False,산학필수 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=061910&p_code=CSE410000&p_subjt=CSE4100&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724153808
2025,1,국제,CSE330-00,SW스타트업비즈니스,3,60,이동현,3.0,수 15:00-17:45 (글405),,False,산학필수 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=062077&p_code=CSE33000&p_subjt=CSE330&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724154821
2025,1,국제,CSE406-14,캡스톤디자인,4,8,성무진,3.0,월 19:00-21:45 (B09),,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=062134&p_code=CSE40614&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724155824
2025,1,국제,CSE496-06,연구연수활동1(컴퓨터공학),4,1,성무진,1.0,토 09:00-10:50 (),,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(정*서),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=062134&p_code=CSE49606&p_subjt=CSE496&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724156841
2025,1,국제,CSE304-02,알고리즘,3,50,성무진,3.0,"화 13:00-14:50 (B06)
목 13:00-14:50 (B06)",,False,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=062134&p_code=CSE30402&p_subjt=CSE304&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724157712
2025,1,국제,EE209-01,논리회로(컴퓨터공학과),2,55,박정환,3.0,"월 16:30-17:45 (전220)
수 16:30-17:45 (전220)",영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=062135&p_code=EE20901&p_subjt=EE209&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724158607
2025,1,국제,CSE201-00,이산구조,1,70,박철준,3.0,"화 10:30-11:45 (B07)
목 10:30-11:45 (B07)",영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=063365&p_code=CSE20100&p_subjt=CSE201&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724159359
2025,1,국제,CSE304-01,알고리즘,3,54,박철준,3.0,"화 15:00-16:50 (B01)
목 15:00-16:50 (B01)",,False,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=063365&p_code=CSE30401&p_subjt=CSE304&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724160153
2025,1,국제,CSE201-01,이산구조,1,70,최경식,3.0,"월 10:30-11:45 (B07)
수 10:30-11:45 (B07)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=063929&p_code=CSE20101&p_subjt=CSE201&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724161013
2025,1,국제,EE209-03,논리회로(컴퓨터공학과),2,55,길태현,3.0,"화 09:00-10:15 (전136)
목 09:00-10:15 (전136)",,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=063976&p_code=EE20903&p_subjt=EE209&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724161824
2025,1,국제,AI3001-00,고급딥러닝(컴퓨터공학과),3,60,김수현,3.0,"화 10:30-11:45 (전103)
목 10:30-11:45 (전103)",영어(부분),True,인공지능 실전 마이크로디그리 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=064244&p_code=AI300100&p_subjt=AI3001&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724162653
