campus,course_no,title,target_year,capacity,professor,credit,time_place,language,note,syllabus_url
국제,SWCON491-00,인공지능과게임프로그래밍(컴퓨터공학과),3,60,조명아,3.0,"화 13:30-14:45 (멀112)
목 13:30-14:45 (멀112)",영어(부분),본인 노트북으로 실습 (필요시 대여 가능) / 선수과목: 객체지향프로그래밍&선형대수,
국제,SWCON103-01,디자인적사고(컴퓨터공학과),1,50,조명아,3.0,화 15:00-18:50 (멀112),,본인 노트북으로 실습 (필요시 대여 가능) / 디자인소프트웨어 마이크로디그리 교과목,
국제,CSE4100-00,블록체인프로젝트,4,50,김정현,3.0,금 15:00-17:45 (B06),,산학필수 과목,
국제,CSE330-00,SW스타트업비즈니스,3,60,이동현,3.0,수 15:00-17:45 (글405),,산학필수 과목,
국제,CSE406-14,캡스톤디자인,4,8,성무진,3.0,월 19:00-21:45 (B09),,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,
국제,CSE496-06,연구연수활동1(컴퓨터공학),4,1,성무진,1.0,토 09:00-10:50 (),,지도교수를 통해 별도로 신청한 학생들만 신청 가능(정*서),
국제,CSE304-02,알고리즘,3,50,성무진,3.0,"화 13:00-14:50 (B06)
목 13:00-14:50 (B06)",,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),
국제,EE209-01,논리회로(컴퓨터공학과),2,55,박정환,3.0,"월 16:30-17:45 (전220)
수 16:30-17:45 (전220)",영어(부분),,
국제,CSE201-00,이산구조,1,70,박철준,3.0,"화 10:30-11:45 (B07)
목 10:30-11:45 (B07)",영어(부분),,
국제,CSE304-01,알고리즘,3,54,박철준,3.0,"화 15:00-16:50 (B01)
목 15:00-16:50 (B01)",,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),
국제,CSE201-01,이산구조,1,70,최경식,3.0,"월 10:30-11:45 (B07)
수 10:30-11:45 (B07)",,,
국제,EE209-03,논리회로(컴퓨터공학과),2,55,길태현,3.0,"화 09:00-10:15 (전136)
목 09:00-10:15 (전136)",,,
국제,AI3001-00,고급딥러닝(컴퓨터공학과),3,60,김수현,3.0,"화 10:30-11:45 (전103)
목 10:30-11:45 (전103)",영어(부분),인공지능 실전 마이크로디그리 과목,
