lecture_year,semester,professor_name,subject_name,division_code,lecture_place,capacity,language,is_english,note,syllabus_url,subject_id,created_at
2025,1,송주빈,확률및랜덤변수(컴퓨터공학과),EE211-00,전220,60,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=004463&p_code=EE21100&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724051679,,2025-05-27 14:25:46
2025,1,한치근,알고리즘,CSE304-00,B01,52,한국어,False,선수과목:자료구조 / 본인 노트북으로 실습(필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=006189&p_code=CSE30400&p_subjt=CSE304&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724053691,,2025-05-27 14:25:46
2025,1,이성원,웹/파이선프로그래밍(컴퓨터공학과),SWCON104-00,전205,150,영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON10400&p_subjt=SWCON104&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724055719,,2025-05-27 14:25:46
2025,1,이성원,컴퓨터네트워크,CSE302-00,전136,61,영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=CSE30200&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724057724,,2025-05-27 14:25:46
2025,1,이성원,마이크로서비스프로그래밍(컴퓨터공학과),SWCON221-00,B09,60,영어(부분),True,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON22100&p_subjt=SWCON221&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724059760,,2025-05-27 14:25:46
2025,1,이성원,풀스택서비스프로그래밍(컴퓨터공학과),SWCON370-00,B05,30,한국어,False,디자인소프트웨어 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON37000&p_subjt=SWCON370&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724061776,,2025-05-27 14:25:46
2025,1,이성원,풀스택서비스네트워킹(컴퓨터공학과),SWCON492-00,전136,60,한국어,False,XR입출력기술 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON49200&p_subjt=SWCON492&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724063778,,2025-05-27 14:25:46
2025,1,이성원,오픈소스SW개발방법및도구(컴퓨터공학과),SWCON201-00,전205,150,영어(부분),True,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=011186&p_code=SWCON20100&p_subjt=SWCON201&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724065809,,2025-05-27 14:25:46
2025,1,홍인기,확률및랜덤변수(컴퓨터공학과),EE211-05,전220,60,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=014891&p_code=EE21105&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724067830,,2025-05-27 14:25:46
2025,1,이대호,객체지향프로그래밍,CSE103-01,온라인,150,한국어,False,"소프트웨어융합대학/전자공학과 전공(다전공 포함) 학생은 수강 불가, 시험은 7주차(4월 21일)/15주차(6월16일) 월요일 18:30~20:00 대면으로 전자정보관에서 진행 (본인 노트북으로 실시, 필요시 노트북 대여 가능, 타 과목과 시험이 중복되어도 시간 변동 없음), 실감미디어기술 마이크로디그리 교과목",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=CSE10301&p_subjt=CSE103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724069868,,2025-05-27 14:25:46
2025,1,이대호,게임그래픽프로그래밍(컴퓨터공학과),SWCON311-00,B06,50,한국어,False,메타버스 마이크로디그리 교과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=SWCON31100&p_subjt=SWCON311&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724071885,,2025-05-27 14:25:46
2025,1,이대호,객체지향프로그래밍,CSE103-00,전205,150,한국어,False,"본인 노트북으로 실습 (필요시 대여 가능), 실감미디어기술 마이크로디그리 교과목",https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015184&p_code=CSE10300&p_subjt=CSE103&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724073891,,2025-05-27 14:25:46
2025,1,유인태,컴퓨터네트워크,CSE302-02,전137,40,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=015327&p_code=CSE30202&p_subjt=CSE302&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724075091,,2025-05-27 14:25:46
2025,1,이계산,확률및랜덤변수(컴퓨터공학과),EE211-01,전226,60,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=021795&p_code=EE21101&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724075910,,2025-05-27 14:25:46
2025,1,이영구,빅데이터마이닝(컴퓨터공학과),AI3004-00,전103,60,한국어,False,빅데이터분석 마이크로디그리 과목,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=AI300400&p_subjt=AI3004&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724076677,,2025-05-27 14:25:46
2025,1,이영구,데이터베이스,CSE305-00,B07,67,한국어,False,본인 노트북으로 실습 (필요시 대여 가능),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE30500&p_subjt=CSE305&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724077475,,2025-05-27 14:25:46
2025,1,이영구,캡스톤디자인,CSE406-02,B09,8,한국어,False,선수과목:디자인적사고 / 3학년 2학기부터 수강허용 OT 개별교수님 안내에 따름,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE40602&p_subjt=CSE406&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724078244,,2025-05-27 14:25:46
2025,1,이영구,독립심화학습1(컴퓨터공학),CSE495-04,,1,한국어,False,지도교수를 통해 별도로 신청한 학생들만 신청 가능(박*우),https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=022334&p_code=CSE49504&p_subjt=CSE495&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724079064,,2025-05-27 14:25:46
2025,1,김윤희,확률및랜덤변수(컴퓨터공학과),EE211-02,전226,60,한국어,False,,https://sugang.khu.ac.kr/core?attribute=lectPlan&p_year=2025&p_term=10&p_teach=023209&p_code=EE21102&p_subjt=EE211&lang=ko&loginYn=N&schedule_cd=hakbu&fake=1747724080352,,2025-05-27 14:25:46
